username,tweetcreatedts,text
kinniku_man,2022-03-25 23:25:21,"@ShamsiAli2 lha wong tinggal booster aja ribet amat, gratis ini kok. apa takut berubah jd zombie kl kebanyakan vaksin ? 🤭"
ardinsyafrudin,2022-03-25 18:35:18,"@ISTANA_CLina10 Yg wajib nyumbang, yang sudah di vaksin,. Karena vaksin nya kan gratis, anggap aja sumbangan nya pengganti bayar vaksin.. 🤪😂😂🤣🤣"
Leahkim__,2022-03-25 18:16:54,@ekowboy2 Ya tinggal vaksin dul. Gratis. Mau dikasi tutorial daftar?
NannyAlexendry,2022-03-25 18:06:03,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
Leahkim__,2022-03-25 18:05:53,@NanoNan05594640 @BukanKaumMuna @HeruPur70688210 @ekowboy2 Ya kan bisa di pikirkan kenapa lebaran lebih ketat.. ya karna umat muslim paling buanyaaaaak di indo. Kalau lebaran bisa potensi penyebaran puaaaling besar melalui arus mudik.. Makanya dikasi aturan vaksin. Lagipula gratis bos. Tinggal vaksin trus lebarann sana dah pulang 🤣
Leahkim__,2022-03-25 18:00:12,@fg_ghina @HeruPur70688210 @ekowboy2 Vaksin vaksin... gratis. trus mudik sanaaa. Selesai. Udah gausah nyinyir.  Pemerintah tuh gapeduli sama org kaya yg ke mandalika / org china yg imlekan / Org kristen natalan makanya longgar biar pada mati. Tapi pemerintah care sama lo lo umat muslim 80% di indo. Tuh gue bela 🤣
IntannKamila,2022-03-25 17:37:09,Was Badan Intelijen Negara melakukan vaksinasi gratis untuk masyarakat di Aceh Utara #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/24Bx40igV9
danrem,2022-03-25 16:50:30,"@NayanikaPutra Mau tanya, begundal-begundal ini terima bantuan sosial, vaksin gratis, dll gak sih?"
georgiussoetjip,2022-03-25 16:35:41,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
riora45,2022-03-25 15:52:05,"@ekowboy2 Harus nya lu bersukur dikasih tubuh kuat, imun kuat... Tinggal nurut aja klo booster ga ngerugiin lu ini.. Gratis ko ga bayar, malah pd bilang cuan cuan... Org gratis ini.... 
Itu juga yg dimandalika juga waktu beli tiket juga persyaratan nya harus sdh vaksin."
riora45,2022-03-25 15:40:51,"@fg_ghina @BukanKaumMuna @ekowboy2 Marketing drmn? Booster juga gratis... Tinggal ikut doang susah amat... Pemikiran lu yg suudzon terus.... 
Yg nonton mandalika juga waktu beli tiket persyaratan nya vaksin"
Deariy,2022-03-25 14:59:40,"Vaksin dan booster gratis juga toh?
Kalo misal tempat situ kena omnicron dll kan di karantina dan diisolasi juga,malah repot juga..malah rugi juga...liat secara positif aja.. https://t.co/i0Tm7T9S5j"
medha_152309,2022-03-25 14:56:22,"Grup keluarga besar gw pada ngomong kalo negara jualan vaksin jd bikin peraturan ini itu biar jualannya laku. Lah liat dr mananya kalo jualan? Kalo jualan kan ga mungkin bisa dpt gratis.
Biasa, org udh iri dengki apa aja yg dilakuin bakal ttp salah."
Ratih_HK,2022-03-25 14:41:17,"@tegalfess Karena aku nggak mau kalo sakit bikin repot keluarga. Jadi lebih baik mencegah aja. Apalagi ini vaksin gratis jadi tentu langsung gercep lah. Ini juga aku lagi ngumpulin dana buat vaksin HPV, kak"
desakann,2022-03-25 13:59:29,"@__Sridiana_3va Heran beginian aja ribut, gratis ini tinggal di vaksin, lagian di Vaksin jg demi kesehatan"
IrmaMarsela,2022-03-25 13:45:14,"@submh @zenold_AntiJoko @iwanjanuarcom Kalo d Belanda itu vaksin memang 4 kali, mungkin d Indonesia bisa juga sampe 4x, yg penting msh gratis"
SayutiRaden2,2022-03-25 13:25:06,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
megadetrader,2022-03-25 13:21:35,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
EliasGustap,2022-03-25 12:56:13,"@detikcom Nah ini lebih biak, karena vaksin juga gratis dan tak ada kadarluarsa sertifikatnya. Tes Antigen dan PCR sangat menyiksa yg perantauan.."
122cassanova,2022-03-25 12:53:11,@FirzaHusainID Kaum kadrun pun pasti ikut berpartisipasi vaksin booster... Tp kaga ngotak.a klw emng ikut vaksin program pemerintah dah gtuh gratis lagi..
RonaldLampard8,2022-03-25 12:46:11,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
IgnasiusLaya,2022-03-25 12:41:25,"@darwoto1212 @gombal_tenan @Imam_piul @ShamsiAli2 Rencana vaksin berbayar dulu itu hanya utk perusahaan bapak. Untuk yg mampu 🙄 kalo gak mau bayar antigen pcr, ambil vaksin yg gratis. Jadi warga itu tau bersyukur, banyak negata miskin gak mampu beli vaksin utk semua warganya."
PDemokrat,2022-03-25 12:26:04,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
Paulus_willy,2022-03-25 12:11:07,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
avatarcs999,2022-03-25 12:01:20,"@andrecoustic @detikcom Tentu ngk sembarangan lah, mau vaksin ke 4 dan 5, tergantung penelitian pakar kesehatan

Wong vaksin gratis kok, jk itu bermanfaat, tidak ada ruginya ikut anjuran pemerintah"
brtnbora,2022-03-25 12:01:08,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
AGoeci,2022-03-25 11:38:09,"@ShamsiAli2 Kenapa anda tidak menyarankan ummat Islam utk vaksin dan booster? Vaksin dan booster gratis. Vaksin dan booster untuk kebaikan dari ummat islam itu sendiri.
Cobalah anda melihatnya dari perspektif yg berbeda. Jangan hasut ummat untuk melawan pemerintah."
Dijei_Mc,2022-03-25 11:29:20,"@mutiara_adhe @arunariftan @Giring_Ganesha @psi_id Drun.. Drun. 
Kalian kok bisanya cuma maki2 dan sumpah serapah.. 
Efek kencing onta ya?? 
Apa efek sakit hati selama 7 tahun ? 
Harusnya kalian terimakasih ke pakde Jokowi.. Walau kalian gak pilih dia, tapi tetap kebagian bantuan sosial, vaksin gratis, dll.. Ye kan?"
